menu_item_key,restaurant_key,item_name,category,price,is_veg
1,1,Chole Bhature,Main,190,True
2,1,Masala Chai,Beverage,190,True
3,1,Cold Coffee,Beverage,220,False
4,1,Dal Makhani,Main,200,True
5,1,Tandoori Roti,Main,155,True
6,1,Butter Naan,Main,250,True
7,1,Rajma Chawal,Main,185,True
8,1,Paneer Butter Masala,Main,260,False
9,1,Chocolate Brownie,Dessert,125,False
10,1,Mango Lassi,Beverage,185,False
11,1,Shahi Paneer,Main,260,False
12,1,Chicken Curry,Main,240,True
13,1,Gulab Jamun,Dessert,165,False
14,2,Dal Makhani,Main,340,False
15,2,Paneer Butter Masala,Main,460,False
16,2,Chole Bhature,Main,445,True
17,2,Mango Lassi,Beverage,320,False
18,2,Cold Coffee,Beverage,395,False
19,2,Tandoori Roti,Main,410,False
20,2,Gulab Jamun,Dessert,485,True
21,2,Chocolate Brownie,Dessert,490,True
22,3,Boneless Biryani,Main,130,False
23,3,Cold Coffee,Beverage,150,False
24,3,Hyderabadi Dum Biryani,Main,65,False
25,3,Gulab Jamun,Dessert,120,True
26,3,Mutton Biryani,Main,115,False
27,3,Veg Biryani,Main,80,True
28,3,Chicken 65,Main,110,True
29,4,Cheese Sandwich,Main,480,True
30,4,Mango Lassi,Beverage,440,True
31,4,Veg Wrap,Main,500,True
32,4,Gulab Jamun,Dessert,380,True
33,4,French Fries,Main,340,False
34,4,Veg Burger,Main,245,True
35,4,Masala Chai,Beverage,295,False
36,4,Chicken Burger,Main,490,True
37,5,Mango Lassi,Beverage,390,True
38,5,Quinoa Salad,Main,515,True
39,5,Gulab Jamun,Dessert,490,False
40,5,Grilled Chicken Bowl,Main,390,False
41,5,Cold Coffee,Beverage,400,True
42,5,Chocolate Brownie,Dessert,505,True
43,5,Fruit Bowl,Main,490,False
44,5,Sprout Salad,Main,270,True
45,5,Masala Chai,Beverage,295,True
46,6,Gulab Jamun,Dessert,130,True
47,6,Veg Frankie,Main,85,True
48,6,Chicken Roll,Main,105,False
49,6,Chocolate Brownie,Dessert,135,False
50,6,Egg Roll,Main,105,True
51,6,Double Egg Roll,Main,65,False
52,6,Masala Chai,Beverage,100,True
53,6,Paneer Roll,Main,115,False
